,丝织物出口金额,中式成药出口金额,二极管及类似半导体器件出口金额,亚麻及苎麻机织物出口金额,仲钨酸铵出口金额,伞出口金额,冻鸡出口金额,医用敷料出口金额,医疗仪器及器械出口金额,医药品出口金额,原油出口金额,原电池出口金额,合成有机染料出口金额,合成短纤与棉混纺机织物出口金额,啤酒出口金额,地毯出口金额,塑料制品出口金额,塑料编织袋出口金额,填充用羽毛；羽绒出口金额,大豆出口金额,天然石墨出口金额,天然硫酸钡出口金额,天然碳酸镁；氧化镁出口金额,天然蜂蜜出口金额,家具及其零件出口金额,家用陶瓷器皿出口金额,山羊绒出口金额,平板玻璃出口金额,成品油出口金额,手用或机用工具出口金额,手表出口金额,收音设备出口金额,新的充气橡胶轮胎出口金额,日用钟出口金额,未锻造的锌及锌合金出口金额,未锻造的锑、粉末及废碎料出口金额,未锻造的锡及锡合金出口金额,未锻造的锰出口金额,未锻造铜及铜合金出口金额,未锻造铝及铝合金出口金额,机电产品出口金额,松子仁出口金额,松香及树脂酸出口金额,柳编结品出口金额,棉机织物出口金额,棉纱线出口金额,棉花出口金额,橘、橙出口金额,橡胶或塑料底布鞋出口金额,氧化铝出口金额,氧化锌及过氧化锌出口金额,水泥及水泥熟料出口金额,水海产品出口金额,汽车出口金额,汽车零件出口金额,洗衣粉出口金额,活家禽出口金额,活猪出口金额,滑石出口金额,烟花、爆竹出口金额,烤烟出口金额,焦炭、半焦炭出口金额,煤出口金额,照相机出口金额,牛肉出口金额,猪肉出口金额,猪肉罐头出口金额,玉米出口金额,玩具出口金额,玻璃制品出口金额,生丝出口金额,生铁及镜铁出口金额,电动机及发电机出口金额,电子计算器出口金额,电容器出口金额,电扇出口金额,电线和电缆出口金额,电视机出口金额,电话机出口金额,皮鞋出口金额,石蜡出口金额,稻谷和大米出口金额,竹编结品出口金额,纸及纸板出口金额,纸烟出口金额,纺织机械及零件出口金额,缝纫机出口金额,肠衣出口金额,自动数据处理设备及其部件出口金额,自动数据处理设备的零件出口金额,自行车出口金额,船舶出口金额,花生及花生仁出口金额,苹果出口金额,茶叶出口金额,草编结品出口金额,药材出口金额,萤石出口金额,蓄电池出口金额,蔬菜出口金额,藤编结品出口金额,蘑菇罐头出口金额,谷物及谷物粉出口金额,足球、篮球、排球出口金额,轴承出口金额,辣椒干出口金额,通断保护电路装置及零件出口金额,金属加工机床出口金额,针织或钩编服装出口金额,钢坯及粗锻件出口金额,钢材出口金额,钢铁或铜制标准紧固件出口金额,铜材出口金额,铝材出口金额,锯材出口金额,集装箱出口金额,静止式变流器出口金额,非针织或钩编织物制服装出口金额,食用植物油出口金额,食糖出口金额,高新技术产品出口金额,鲜或冷藏蔬菜出口金额,鲜蛋出口金额
2000年,375.12,84.68,1083.61,377.86,43.77,575.47,513.02,261.47,515.24,1788.37,2128.01,566.49,546.5,1161.1,39.6,470.91,4894.32,157.6,307.1,64.14,50.97,79.39,266.38,84.12,3565.15,911.21,252.27,149.01,2128.08,1109.58,919.8,2810.12,1002.89,388.78,650.27,48.37,387.78,85.24,215.64,303.86,105312.84,18.66,138.77,111.38,3085.4,630.83,305.79,45.37,1175.09,0.0,101.16,189.96,2267.37,193.74,1123.46,23.47,104.11,230.45,63.5,250.35,132.06,915.81,1459.45,1237.08,23.54,68.62,58.45,1051.7,5575.66,497.62,271.59,396.31,1930.92,572.55,775.29,703.68,1615.93,1297.35,1692.83,4368.95,228.31,561.05,117.29,511.89,0.0,290.06,346.19,315.12,0.0,0.0,1021.48,1496.65,231.75,96.56,347.14,46.98,210.47,117.91,931.53,1576.88,53.57,169.13,1694.17,69.64,543.49,34.46,1739.03,298.95,12454.33,817.78,2229.33,486.27,507.97,319.89,178.0,2376.64,1529.26,17478.26,67.02,83.59,0.0,491.61,17.12
2001年,352.48,95.51,959.92,323.6,51.55,597.08,525.3,282.52,639.12,1978.45,1385.37,588.56,532.86,1037.93,40.61,490.83,5096.22,158.37,246.46,77.13,48.5,80.65,274.62,95.83,3958.63,710.18,184.63,150.31,2127.4,1180.56,806.12,2533.64,1002.78,359.03,539.77,26.13,249.45,119.22,93.33,591.15,118786.53,30.4,141.75,118.1,3211.61,721.89,80.02,35.74,1383.53,0.0,66.64,195.6,2590.18,208.22,1351.14,28.77,77.71,219.69,69.21,248.92,166.61,928.24,2666.39,994.2,32.51,135.78,65.74,625.6,5164.89,560.1,242.69,81.91,1841.88,573.82,653.8,828.57,1653.33,1591.53,1409.68,4343.51,251.45,329.01,122.51,521.67,0.0,277.55,328.29,280.86,0.0,0.0,1001.83,1888.66,263.03,100.67,342.04,51.17,194.62,121.95,1001.49,1752.07,46.37,161.73,1098.25,77.2,559.49,42.41,1820.38,290.03,12397.18,490.23,1867.05,504.72,421.23,337.72,195.08,2198.64,1741.9,17752.75,69.56,55.96,0.0,601.25,17.96
2002年,347.464,103.025,1338.614,351.487,30.489,555.716,360.153,296.687,760.536,2323.893,1296.176,686.724,572.853,849.319,68.128,557.043,6051.64,175.006,256.842,76.677,46.144,55.925,240.511,77.94,5359.364,884.994,231.712,249.761,2384.631,1414.835,777.6,2962.286,1218.377,398.11,393.422,28.716,155.531,97.222,131.19,1099.563,157062.13,46.42,159.534,156.24,4256.915,1006.738,169.593,51.166,1406.25,0.0,56.944,164.305,2871.307,267.277,1841.721,32.624,82.067,213.37,67.551,276.405,181.423,957.136,2532.089,777.282,19.024,209.464,70.606,1167.512,5574.075,744.353,242.959,51.889,2183.194,777.113,835.237,1020.702,2086.083,2396.27,1404.566,4815.937,248.396,385.005,138.122,573.174,0.0,356.493,390.515,289.567,0.0,0.0,1278.969,1894.008,263.705,149.425,331.761,71.235,215.848,105.466,1398.459,1887.728,73.539,222.102,1717.861,104.059,607.414,48.602,2138.601,312.797,14635.1,295.929,2182.79,588.548,496.307,456.524,190.046,2212.113,2159.182,19250.158,58.21,79.708,0.0,737.178,22.243
2003年,411.586,104.6,1723.08,381.863,41.733,633.215,278.968,352.65,1001.25,2860.86,1661.6,864.13,544.884,837.89,76.19,637.5,7317.13,242.1,235.18,86.999,53.518,67.443,278.11,103.136,7297.106,1080.633,251.873,282.416,3726.81,1761.18,953.002,3135.31,1607.64,444.117,396.58,55.913,180.411,161.777,118.704,1785.2,227456.718,51.334,139.805,199.75,5463.08,1377.96,132.57,69.347,1595.1,0.0,65.607,171.578,3332.2,417.63,2415.61,42.775,67.362,214.766,69.901,315.952,183.853,1672.361,2750.324,564.451,14.875,269.15,75.056,1767.175,5979.4,974.5,211.82,125.73,2438.64,941.397,985.08,1346.33,2663.29,3471.593,1666.13,5355.94,273.731,501.75,153.63,862.24,0.0,517.33,0.0,397.47,0.0,0.0,1432.46,2987.516,317.881,209.775,367.19,89.196,226.29,111.257,2090.19,2199.74,97.883,282.56,2657.05,127.24,658.18,77.264,2837.358,378.7,18858.09,375.32,3105.06,819.93,690.13,668.57,233.96,3854.124,2883.95,23319.82,59.67,29.564,0.0,906.53,31.022
2004年,588.45,113.44,2426.84,398.59,38.53,780.96,92.45,439.1,1379.6,3234.71,1324.69,955.45,645.33,1162.59,68.49,773.31,9176.85,342.59,347.76,144.93,67.04,77.82,263.23,89.01,10167.66,1338.91,235.74,346.21,3960.19,2344.46,977.43,2920.54,2486.75,491.23,269.11,48.96,321.06,387.13,345.09,2799.16,323370.23,68.9,163.86,254.46,6044.72,1333.8,15.74,97.45,1858.33,0.0,60.29,230.39,4052.31,780.3,4409.19,60.48,33.33,239.65,65.96,347.86,221.48,3948.68,3811.24,331.79,30.33,459.54,79.29,325.71,6379.46,1435.79,213.6,361.44,2912.22,805.18,1229.53,1825.05,3700.67,5485.53,1976.92,6317.78,328.08,239.44,166.87,821.15,0.0,666.77,606.11,504.11,59911.27,23878.29,1640.7,3136.73,298.67,274.41,436.85,116.45,266.39,119.16,3155.05,2781.14,98.71,297.54,827.66,161.5,883.49,114.37,3891.12,538.53,23425.31,2312.52,8333.76,1310.2,1496.52,1119.99,217.55,5125.29,4164.04,26681.98,63.27,25.79,165535.6,1062.63,40.28
2005年,729.34,125.93,3359.79,452.34,135.57,876.07,111.45,525.49,1938.29,3778.08,2696.01,1076.75,755.87,1421.17,69.56,932.22,11277.07,451.48,357.84,169.58,85.45,106.95,307.76,87.63,13502.16,1659.36,247.65,481.63,6411.46,3017.93,924.41,3896.91,3781.21,485.57,195.83,82.92,198.65,424.33,549.82,2379.52,426729.05,76.32,254.53,281.34,6997.79,1399.93,7.91,128.35,2358.26,0.0,69.2,684.6,4346.23,1903.28,6579.94,61.85,37.4,226.86,70.51,402.3,217.76,2340.58,4272.14,192.54,41.5,406.12,83.97,1107.53,6562.12,1828.99,244.55,666.51,3407.13,816.62,1438.33,2220.74,4839.21,8419.65,2109.64,8065.26,469.04,232.34,155.71,1343.88,0.0,869.38,767.93,508.16,76299.34,28352.13,1749.21,4578.02,319.59,306.31,484.21,139.07,287.45,128.79,4135.35,3302.0,93.56,292.81,1518.54,179.04,1100.37,100.41,5298.04,820.5,27876.04,2672.83,13078.17,1833.33,2073.82,1950.57,278.59,5871.42,1076.75,32431.69,172.07,110.69,218243.75,1327.36,43.52
2006年,795.783,137.441,5097.943,479.95,176.41,1043.786,67.94,581.122,2545.482,4486.71,2736.98,1309.601,804.245,1757.351,84.71,1068.648,13301.177,552.321,309.26,145.939,78.07,137.72,288.27,105.27,17129.268,1914.827,240.317,618.859,7048.17,3617.32,911.643,4422.71,5127.75,499.048,1140.46,88.84,185.59,405.18,1498.754,2842.529,549401.715,103.08,365.26,345.416,7912.359,1826.376,23.73,137.36,2842.137,0.0,136.02,1180.622,4741.212,2938.164,8876.816,91.89,31.65,225.19,89.18,458.467,250.3,2003.887,3680.86,126.726,64.16,400.88,95.61,421.687,7054.912,2293.476,198.39,272.155,4370.594,960.955,1843.664,2455.65,7242.385,8894.117,35338.373,8774.196,501.709,409.676,180.522,2230.258,0.0,1235.921,893.402,544.93,93017.37,32618.566,1884.784,8005.743,243.84,372.56,546.92,155.071,325.72,109.93,5073.674,39795.526,124.783,408.822,1154.34,244.729,1242.35,104.42,7400.649,1176.383,41220.089,3399.537,26229.556,2439.515,3692.055,3858.418,352.747,5983.951,6870.148,39657.443,269.849,60.8,281425.344,1705.18,42.6
2007年,786.411,155.8,8820.332,434.132,120.514,1263.646,130.391,708.417,3458.732,6006.024,1687.098,1503.777,1003.094,1983.081,100.854,1315.283,14476.478,633.642,334.258,196.496,103.226,135.101,335.326,94.383,22146.4,1787.537,246.348,811.404,9149.553,4414.71,1165.717,4890.724,7093.115,543.145,1055.664,39.578,315.931,770.032,956.203,1337.986,701170.928,81.61,274.266,433.008,8527.91,1933.47,32.529,205.487,3428.374,18.781,140.873,1150.433,4748.197,6810.09,12277.211,122.183,34.556,261.332,93.541,494.93,303.506,3053.963,3295.498,84.578,79.318,283.748,85.037,875.325,8483.63,2782.021,337.118,254.721,5619.236,1011.458,2154.533,2736.851,10024.089,9044.85,38761.01,9561.271,527.645,487.873,189.646,3147.275,252.19,1525.768,993.567,572.409,123714.648,32294.136,2165.629,11944.291,281.229,512.603,607.136,190.348,417.454,101.568,6341.953,4216.48,147.314,642.933,2189.174,273.774,1554.294,125.142,9619.577,1651.292,56871.36,2919.431,44132.834,3342.68,3799.812,5932.757,389.709,8775.239,9185.37,43643.794,169.275,48.351,347825.457,1726.049,58.381
2008年,822.419,174.351,15733.929,419.923,115.602,1477.223,156.662,980.327,4495.069,8103.529,2979.552,1582.063,1162.357,2294.111,129.517,1607.518,15826.132,804.534,296.182,351.463,163.98,200.991,520.574,147.106,26911.182,1840.955,196.213,915.053,13665.164,4812.957,1253.335,4446.465,8060.306,551.436,147.442,52.68,11.306,852.925,854.036,2136.194,822929.74,47.675,271.944,602.568,10216.571,1973.115,34.096,362.273,3943.756,29.558,61.743,1098.795,5177.078,8877.977,14815.094,167.116,33.991,382.704,132.469,494.998,334.304,5807.369,5240.265,7411.781,95.504,275.645,87.467,79.423,8634.606,3484.04,333.792,127.921,6597.675,978.889,2327.642,2706.029,11939.716,10577.969,41491.476,9809.03,745.46,483.264,222.495,3279.14,248.688,1565.476,935.712,841.413,135019.09,31371.333,2554.767,19123.265,306.517,698.34,682.261,219.168,451.45,190.606,7275.279,4166.536,176.236,652.063,758.566,346.76,2059.374,179.972,11880.166,2106.045,54555.643,1325.592,63442.128,4496.828,4157.241,6366.035,401.424,9092.153,10431.885,46763.288,401.563,27.079,415611.05,1551.375,80.132
2009年,775.72,165.96,14325.84,443.63,62.13,1626.98,136.27,831.6,4564.38,8635.14,2155.73,1486.91,919.63,1823.84,122.69,1491.26,14400.84,712.38,248.25,237.14,134.12,122.16,275.76,125.7,25329.23,1942.05,137.83,512.0,12549.94,4048.97,1185.51,3055.09,7684.93,649.4,58.68,20.59,11.33,234.75,440.76,506.69,713113.13,142.97,182.02,400.14,8507.18,1815.93,18.12,506.4,4128.58,28.79,23.17,687.19,6808.51,4681.05,12958.92,165.72,26.08,330.08,71.87,556.9,411.48,201.19,2375.37,6379.69,61.21,262.72,97.65,31.71,7783.59,3379.5,243.52,86.56,5244.89,799.41,2158.12,2403.72,9261.54,10756.64,41537.37,8356.2,533.77,525.06,142.53,3136.04,279.6,1211.51,703.07,787.98,122360.38,25727.68,2141.07,27094.6,218.23,712.13,704.95,166.82,484.88,67.34,5285.5,4995.76,109.83,360.14,716.2,328.04,1454.89,142.62,10433.66,1411.68,48068.02,22.34,22271.85,2436.77,2718.67,4596.49,345.09,1930.42,9212.69,42654.4,151.49,33.65,376909.15,2187.6,78.89
2010年,998.83,196.21,30252.75,610.49,109.36,2175.13,208.28,949.98,5501.904,10704.82,1651.15,1671.43,1175.98,2306.96,112.34,1956.35,18657.574,818.19,366.76,118.25,207.19,174.67,661.57,182.51,32986.489,2436.8,219.63,652.32,17044.04,5650.95,1420.976,3811.49,10388.16,854.573,101.74,39.91,18.4,294.41,310.77,1535.61,933434.046,159.28,486.75,419.182,11386.5,2251.0,9.21,520.98,5637.207,34.24,27.24,723.07,8802.18,6195.297,18652.403,183.96,26.1,338.54,118.04,553.46,438.62,1392.67,2252.22,7170.043,109.09,332.01,106.04,33.35,10075.834,4594.47,338.85,303.0,7304.94,751.83,3043.93,2993.02,12888.56,14846.33,48926.62,10448.968,692.0,418.68,146.008,3791.2,311.54,1756.57,1102.705,829.3,163952.99,30687.59,2612.102,39202.555,241.76,831.63,784.12,167.829,631.77,1338.109,6486.01,7980.93,120.503,461.85,660.66,442.152,2360.74,115.0,14765.97,1852.98,59699.738,81.3,36819.32,3564.1,3871.85,7542.83,340.43,7231.67,12890.88,49169.347,122.62,63.86,492413.917,3771.8,97.89
2011年,1067.343,233.052,33577.234,749.31,182.165,2565.614,268.227,1260.82,6525.004,11833.257,1907.008,1937.591,1180.176,3021.824,130.681,2323.647,23468.254,969.814,552.036,161.544,365.181,241.911,662.229,201.471,37941.777,2696.035,258.176,750.844,20766.03,7232.362,1589.166,4258.882,14762.211,974.992,115.648,66.317,38.222,201.768,1490.847,1789.057,1085589.264,153.902,593.341,456.949,13958.497,2256.205,78.733,636.862,7084.354,53.506,32.979,620.353,10983.771,9938.164,22975.224,249.404,28.624,452.047,156.682,656.861,477.567,1487.346,2716.845,6570.787,119.593,326.102,125.667,46.581,10826.211,5600.51,366.724,440.978,8790.377,665.099,3703.721,3558.179,14890.466,13671.143,64804.556,10947.923,641.056,426.981,200.579,5163.896,376.844,2248.317,1346.102,1099.905,176284.836,29929.927,2904.553,41805.128,259.768,914.326,965.097,169.651,738.471,256.84,7136.115,9349.926,114.851,555.141,753.463,431.61,3292.896,179.539,17605.783,2418.084,71517.888,4.87,51266.217,4766.152,4525.882,10361.684,358.95,11404.006,14654.038,57363.202,208.036,51.278,548788.323,3971.116,121.071
2012年,1065.428,265.936,24370.402,715.495,87.723,2559.299,221.752,1289.596,7292.534,11934.743,2226.025,1869.239,1256.991,2623.982,140.989,2403.738,31565.174,988.471,754.341,279.125,286.464,360.1,611.905,215.051,48817.123,3675.72,233.535,613.112,21309.949,7976.896,1912.984,4781.611,15883.457,1092.141,19.56,118.324,43.61,123.912,2284.317,1467.681,1179337.635,174.59,268.337,462.259,13274.387,2182.331,36.799,839.322,8152.04,39.414,21.115,683.626,18118.095,12670.835,25675.911,296.243,30.936,460.564,189.866,723.683,463.255,445.059,1587.881,6436.039,80.601,295.038,149.665,101.171,11449.768,7334.45,368.452,145.053,9224.903,651.954,4052.133,3695.695,16600.396,12110.431,82987.452,10925.439,626.302,272.132,204.029,5688.472,449.92,2238.92,1241.332,1097.162,185321.031,29622.657,3176.275,36111.12,272.361,959.913,1042.255,142.869,847.16,156.913,7491.096,7559.348,100.693,522.502,593.726,480.012,3195.818,137.476,19919.779,2741.55,77954.021,4.053,51486.544,4612.142,4223.331,9797.161,329.49,8422.042,15550.19,55020.54,183.565,43.486,601163.85,3177.366,112.026
2013年,964.552,268.717,25058.776,946.645,90.819,2688.997,242.119,1353.018,8180.158,12320.373,1456.209,1943.9,1490.352,2723.428,162.886,2505.473,35293.161,1074.82,1002.325,201.941,276.579,279.522,529.427,246.55,51822.828,4701.966,285.907,1043.502,24504.963,8681.059,2200.08,4466.778,16152.909,1083.302,12.275,21.225,70.334,487.021,2266.392,1280.005,1264662.462,212.315,272.189,429.424,15508.09,2515.159,15.165,991.208,9629.56,95.076,17.25,795.682,19429.234,11975.196,29055.623,327.989,29.756,459.185,166.739,771.269,457.832,1134.078,1061.883,4694.863,44.316,325.39,149.439,33.186,12378.883,7960.201,373.583,110.437,9862.453,660.55,7326.847,4165.586,18396.88,11053.317,97152.624,12010.675,630.382,416.741,177.873,6812.874,488.921,2513.919,1375.914,961.64,182169.188,28598.928,3169.204,25927.075,219.071,1029.866,1246.308,136.003,1197.974,137.637,7591.624,9005.511,93.081,527.157,664.158,539.606,3389.953,109.93,21614.078,2858.549,86892.84,3.749,53212.51,4709.427,4176.46,10405.79,323.99,7880.506,17613.649,61002.106,193.133,41.78,660081.3,3401.708,106.879
2014年,907.105876,249.300292,28338.783256,1105.939759,95.09478,2895.85116,281.968692,1395.401211,8847.642116,13378.106263,490.697311,2078.861554,1812.848762,3332.595887,177.037727,2680.212613,37084.682645,1019.234013,996.554163,199.080087,298.105492,348.276172,618.425287,260.261572,52020.825022,8145.257904,230.247389,1442.283045,25776.750023,9879.592204,2560.03514,4621.870927,16446.634302,1004.347585,293.204706,12.891978,21.481346,649.405087,1893.841073,1432.777205,1310757.38757,234.068005,296.620478,437.237255,14616.118859,2062.62141,30.074748,1027.565979,11891.320822,108.348999,22.384573,772.43068,20863.820711,12523.992995,0.0,374.358236,18.512564,456.351856,167.546542,849.567027,420.400899,1709.152547,695.433279,3757.837019,59.274519,422.688531,153.474413,7.690865,14134.787854,6965.633912,340.165739,97.519864,10726.437371,637.888947,7540.914713,4421.949049,20966.620824,13551.801297,117259.52807,13749.931048,619.471447,378.397162,154.634388,7582.080701,513.744718,3146.349994,1453.252048,1029.446779,181716.982988,30449.755347,3537.662131,0.0,200.648559,1027.578921,1272.663369,126.888152,1526.594104,120.204622,8893.802418,9800.424997,86.160922,526.140126,555.663914,556.964413,3764.837333,98.033164,24579.915278,3395.36836,81719.232703,6.138245,70812.100099,5190.523039,4230.924328,11948.053676,295.252963,9001.089135,18244.368697,73429.072989,200.331432,37.857289,660490.437456,3833.622983,122.624561
